Country,State,City,DATE,Year,Month,Day,Hour,Precipitation,Cloudiness,Dew point,Temperature,Wind chill,Wind speed,Wind direction
Canada,Ontario,Timmins,20100103 09:00,2010,1,3,9,1022.3,436,1.1,5.4,2.5,4.7,313
Canada,Ontario,Timmins,20100103 10:00,2010,1,3,10,1022.7,446,1.2,7,4.4,5.2,310
Canada,Ontario,Timmins,20100103 11:00,2010,1,3,11,1022.7,407,1.2,8.6,6.3,5.4,254
Canada,Ontario,Timmins,20100103 12:00,2010,1,3,12,1022,395,1.3,9.8,8,5.6,252
Canada,Ontario,Timmins,20100103 13:00,2010,1,3,13,1020.7,366,1.2,11,9.3,5.6,251
Canada,Ontario,Timmins,20100103 14:00,2010,1,3,14,1019.9,376,1.2,11.8,10.3,5.7,247
Canada,Ontario,Timmins,20100103 15:00,2010,1,3,15,1019.5,380,1.1,12.3,10.9,5.8,257
Canada,Ontario,Timmins,20100103 16:00,2010,1,3,16,1019.5,385,1,12.2,10.8,5.7,270
Canada,Ontario,Timmins,20100103 17:00,2010,1,3,17,1019.7,366,1.1,11.5,10,5.3,322
Canada,Ontario,Timmins,20100103 18:00,2010,1,3,18,1019.9,363,1.1,9.9,8.2,4.6,13
Canada,Ontario,Timmins,20100103 19:00,2010,1,3,19,1020.4,350,1.1,8.8,7,4.3,32
Canada,Ontario,Timmins,20100103 20:00,2010,1,3,20,1020.7,356,1.2,8.2,6.1,4.3,21
Canada,Ontario,Timmins,20100103 21:00,2010,1,3,21,1020.9,347,1.1,7.6,5.4,4.4,302
Canada,Ontario,Timmins,20100103 22:00,2010,1,3,22,1021.1,366,1.1,7,4.7,4.4,288
Canada,Ontario,Timmins,20100103 23:00,2010,1,3,23,1021.2,356,1.1,6.6,4.1,4.5,263
Canada,Ontario,Timmins,20100104 00:00,2010,1,4,0,1021.1,349,1.1,6.1,3.6,4.3,260
Canada,Ontario,Timmins,20100104 01:00,2010,1,4,1,1020.9,386,1.1,5.6,3.1,4.3,272
Canada,Ontario,Timmins,20100104 02:00,2010,1,4,2,1020.9,400,1,5.3,2.6,4.4,260
Canada,Ontario,Timmins,20100104 03:00,2010,1,4,3,1020.9,416,0.9,5,2.2,4.4,280
Canada,Ontario,Timmins,20100104 04:00,2010,1,4,4,1020.8,403,0.9,4.7,1.9,4.3,290
Canada,Ontario,Timmins,20100104 05:00,2010,1,4,5,1020.8,411,0.8,4.4,1.6,4.2,304
Canada,Ontario,Timmins,20100104 06:00,2010,1,4,6,1021,404,0.7,4.2,1.3,4.2,302
Canada,Ontario,Timmins,20100104 07:00,2010,1,4,7,1021.5,395,0.5,3.9,0.9,4.3,318
Canada,Ontario,Timmins,20100104 08:00,2010,1,4,8,1021.9,413,0.5,4,1,4.3,312
Canada,Ontario,Timmins,20100104 09:00,2010,1,4,9,1022.5,429,1,5.3,2.4,4.6,314
Canada,Ontario,Timmins,20100104 10:00,2010,1,4,10,1023,441,1.1,7,4.3,5.2,309
Canada,Ontario,Timmins,20100104 11:00,2010,1,4,11,1023,403,1.1,8.6,6.4,5.4,255
Canada,Ontario,Timmins,20100104 12:00,2010,1,4,12,1022.2,392,1.2,9.8,7.9,5.6,252
Canada,Ontario,Timmins,20100104 13:00,2010,1,4,13,1021,359,1.1,11,9.3,5.7,252
Canada,Ontario,Timmins,20100104 14:00,2010,1,4,14,1020.2,371,1.1,11.8,10.3,5.7,248
Canada,Ontario,Timmins,20100104 15:00,2010,1,4,15,1019.8,369,0.9,12.2,10.8,5.8,258
Canada,Ontario,Timmins,20100104 16:00,2010,1,4,16,1019.7,383,0.8,12.2,10.8,5.7,270
Canada,Ontario,Timmins,20100104 17:00,2010,1,4,17,1019.8,366,0.9,11.6,10.1,5.3,321
Canada,Ontario,Timmins,20100104 18:00,2010,1,4,18,1020.1,356,0.9,9.9,8.2,4.6,20
Canada,Ontario,Timmins,20100104 19:00,2010,1,4,19,1020.5,346,1,8.8,7,4.4,47
Canada,Ontario,Timmins,20100104 20:00,2010,1,4,20,1020.8,349,1,8.2,6.1,4.4,37
Canada,Ontario,Timmins,20100104 21:00,2010,1,4,21,1021,343,1.1,7.6,5.4,4.4,206
Canada,Ontario,Timmins,20100104 22:00,2010,1,4,22,1021.2,366,1,7.1,4.7,4.4,248
Canada,Ontario,Timmins,20100104 23:00,2010,1,4,23,1021.3,356,0.9,6.6,4.1,4.5,238
Canada,Ontario,Timmins,20100105 00:00,2010,1,5,0,1021.2,349,0.9,6.1,3.7,4.3,243
Canada,Ontario,Timmins,20100105 01:00,2010,1,5,1,1021,387,1,5.7,3.1,4.4,255
Canada,Ontario,Timmins,20100105 02:00,2010,1,5,2,1020.9,399,0.9,5.3,2.7,4.5,242
Canada,Ontario,Timmins,20100105 03:00,2010,1,5,3,1020.9,419,0.9,5,2.2,4.4,262
Canada,Ontario,Timmins,20100105 04:00,2010,1,5,4,1020.9,408,0.9,4.7,1.9,4.3,279
Canada,Ontario,Timmins,20100105 05:00,2010,1,5,5,1020.8,416,0.8,4.4,1.6,4.2,296
Canada,Ontario,Timmins,20100105 06:00,2010,1,5,6,1021,406,0.7,4.2,1.3,4.2,297
Canada,Ontario,Timmins,20100105 07:00,2010,1,5,7,1021.5,400,0.6,4,1,4.3,316
Canada,Ontario,Timmins,20100105 08:00,2010,1,5,8,1021.9,422,0.6,4.1,1.1,4.3,310
Canada,Ontario,Timmins,20100105 09:00,2010,1,5,9,1022.5,436,1.1,5.4,2.5,4.7,310
Canada,Ontario,Timmins,20100105 10:00,2010,1,5,10,1022.9,445,1.2,7.1,4.4,5.2,292
Canada,Ontario,Timmins,20100105 11:00,2010,1,5,11,1022.9,407,1.2,8.6,6.4,5.5,245
Canada,Ontario,Timmins,20100105 12:00,2010,1,5,12,1022.2,393,1.2,9.9,8,5.6,251
Canada,Ontario,Timmins,20100105 13:00,2010,1,5,13,1021,364,1.2,11.1,9.3,5.7,248
Canada,Ontario,Timmins,20100105 14:00,2010,1,5,14,1020.2,366,1,11.9,10.4,5.8,249
Canada,Ontario,Timmins,20100105 15:00,2010,1,5,15,1019.7,366,0.9,12.3,10.9,5.8,258
Canada,Ontario,Timmins,20100105 16:00,2010,1,5,16,1019.7,378,0.8,12.3,10.9,5.8,271
Canada,Ontario,Timmins,20100105 17:00,2010,1,5,17,1019.8,361,0.9,11.6,10.1,5.3,323
Canada,Ontario,Timmins,20100105 18:00,2010,1,5,18,1020.1,353,0.8,9.9,8.2,4.6,11
Canada,Ontario,Timmins,20100105 19:00,2010,1,5,19,1020.6,343,0.9,8.9,7,4.4,40
Canada,Ontario,Timmins,20100105 20:00,2010,1,5,20,1020.9,352,0.9,8.2,6.1,4.5,24
Canada,Ontario,Timmins,20100105 21:00,2010,1,5,21,1021.1,347,0.9,7.6,5.3,4.5,302
Canada,Ontario,Timmins,20100105 22:00,2010,1,5,22,1021.3,367,0.8,7,4.6,4.5,284
Canada,Ontario,Timmins,20100105 23:00,2010,1,5,23,1021.4,359,0.8,6.4,4,4.5,258
Canada,Ontario,Timmins,20100106 00:00,2010,1,6,0,1021.3,345,0.8,5.9,3.4,4.4,263
Canada,Ontario,Timmins,20100106 01:00,2010,1,6,1,1021,388,0.8,5.6,2.9,4.4,270
Canada,Ontario,Timmins,20100106 02:00,2010,1,6,2,1021,394,0.7,5.2,2.4,4.5,256
Canada,Ontario,Timmins,20100106 03:00,2010,1,6,3,1021,420,0.7,4.8,2,4.5,276
Canada,Ontario,Timmins,20100106 04:00,2010,1,6,4,1021,409,0.6,4.6,1.7,4.4,290
Canada,Ontario,Timmins,20100106 05:00,2010,1,6,5,1020.9,421,0.6,4.3,1.4,4.3,305
Canada,Ontario,Timmins,20100106 06:00,2010,1,6,6,1021.1,415,0.4,4.1,1.1,4.2,303
Canada,Ontario,Timmins,20100106 07:00,2010,1,6,7,1021.6,413,0.3,3.9,0.8,4.3,317
Canada,Ontario,Timmins,20100106 08:00,2010,1,6,8,1022,430,0.3,3.9,0.8,4.3,312
Canada,Ontario,Timmins,20100106 09:00,2010,1,6,9,1022.6,449,0.8,5.2,2.2,4.7,313
Canada,Ontario,Timmins,20100106 10:00,2010,1,6,10,1023,451,0.8,6.8,4.2,5.3,305
Canada,Ontario,Timmins,20100106 11:00,2010,1,6,11,1023,414,0.8,8.4,6.2,5.5,267
Canada,Ontario,Timmins,20100106 12:00,2010,1,6,12,1022.3,397,0.9,9.7,7.7,5.7,262
Canada,Ontario,Timmins,20100106 13:00,2010,1,6,13,1021.1,370,0.8,10.8,9.1,5.7,257
Canada,Ontario,Timmins,20100106 14:00,2010,1,6,14,1020.2,376,0.7,11.7,10.1,5.8,257
Canada,Ontario,Timmins,20100106 15:00,2010,1,6,15,1019.9,373,0.6,12.2,10.7,5.9,266
Canada,Ontario,Timmins,20100106 16:00,2010,1,6,16,1019.8,382,0.6,12.2,10.7,5.8,275
Canada,Ontario,Timmins,20100106 17:00,2010,1,6,17,1020,360,0.6,11.5,9.9,5.4,315
Canada,Ontario,Timmins,20100106 18:00,2010,1,6,18,1020.2,351,0.6,9.8,8.1,4.7,359
Canada,Ontario,Timmins,20100106 19:00,2010,1,6,19,1020.7,339,0.7,8.7,6.8,4.5,21
Canada,Ontario,Timmins,20100106 20:00,2010,1,6,20,1021,356,0.7,8.1,5.9,4.5,5
Canada,Ontario,Timmins,20100106 21:00,2010,1,6,21,1021.2,344,0.7,7.4,5.2,4.5,313
Canada,Ontario,Timmins,20100106 22:00,2010,1,6,22,1021.4,360,0.6,6.9,4.4,4.5,293
Canada,Ontario,Timmins,20100106 23:00,2010,1,6,23,1021.5,356,0.6,6.3,3.8,4.5,271
Canada,Ontario,Timmins,20100107 00:00,2010,1,7,0,1021.4,340,0.6,5.8,3.3,4.4,274
Canada,Ontario,Timmins,20100107 01:00,2010,1,7,1,1021.2,381,0.6,5.4,2.7,4.4,277
Canada,Ontario,Timmins,20100107 02:00,2010,1,7,2,1021.2,383,0.5,5.1,2.3,4.5,263
Canada,Ontario,Timmins,20100107 03:00,2010,1,7,3,1021.2,417,0.5,4.7,1.8,4.5,281
Canada,Ontario,Timmins,20100107 04:00,2010,1,7,4,1021.1,405,0.4,4.4,1.6,4.3,295
Canada,Ontario,Timmins,20100107 05:00,2010,1,7,5,1021.1,416,0.3,4.1,1.2,4.3,308
Canada,Ontario,Timmins,20100107 06:00,2010,1,7,6,1021.3,404,0.3,3.9,0.9,4.2,306
Canada,Ontario,Timmins,20100107 07:00,2010,1,7,7,1021.7,407,0.1,3.7,0.6,4.4,317
Canada,Ontario,Timmins,20100107 08:00,2010,1,7,8,1022.2,418,0.2,3.8,0.6,4.3,312
Canada,Ontario,Timmins,20100107 09:00,2010,1,7,9,1022.7,434,0.6,5.1,2.1,4.7,315
Canada,Ontario,Timmins,20100107 10:00,2010,1,7,10,1023.2,436,0.7,6.8,4.1,5.2,307
Canada,Ontario,Timmins,20100107 11:00,2010,1,7,11,1023.2,411,0.7,8.3,6.2,5.5,277
Canada,Ontario,Timmins,20100107 12:00,2010,1,7,12,1022.5,380,0.8,9.7,7.8,5.6,272
Canada,Ontario,Timmins,20100107 13:00,2010,1,7,13,1021.3,361,0.7,10.8,9.1,5.7,266
Canada,Ontario,Timmins,20100107 14:00,2010,1,7,14,1020.4,366,0.6,11.7,10.1,5.8,265
Canada,Ontario,Timmins,20100107 15:00,2010,1,7,15,1020.1,376,0.4,12.2,10.7,5.9,273
Canada,Ontario,Timmins,20100107 16:00,2010,1,7,16,1020.1,378,0.4,12.2,10.7,5.7,283
Canada,Ontario,Timmins,20100107 17:00,2010,1,7,17,1020.2,350,0.4,11.6,10,5.4,318
Canada,Ontario,Timmins,20100107 18:00,2010,1,7,18,1020.5,344,0.4,9.8,8.1,4.7,360
Canada,Ontario,Timmins,20100107 19:00,2010,1,7,19,1020.9,333,0.5,8.7,6.8,4.5,14
Canada,Ontario,Timmins,20100107 20:00,2010,1,7,20,1021.2,346,0.5,8,5.8,4.6,358
Canada,Ontario,Timmins,20100107 21:00,2010,1,7,21,1021.4,338,0.5,7.4,5.2,4.5,315
Canada,Ontario,Timmins,20100107 22:00,2010,1,7,22,1021.6,355,0.4,6.8,4.4,4.5,300
Canada,Ontario,Timmins,20100107 23:00,2010,1,7,23,1021.7,346,0.4,6.3,3.7,4.5,282
Canada,Ontario,Timmins,20100108 00:00,2010,1,8,0,1021.6,334,0.4,5.7,3.2,4.4,278
Canada,Ontario,Timmins,20100108 01:00,2010,1,8,1,1021.4,374,0.3,5.3,2.6,4.4,281
Canada,Ontario,Timmins,20100108 02:00,2010,1,8,2,1021.3,372,0.3,4.9,2.1,4.4,269
Canada,Ontario,Timmins,20100108 03:00,2010,1,8,3,1021.4,407,0.3,4.6,1.7,4.4,286
Canada,Ontario,Timmins,20100108 04:00,2010,1,8,4,1021.3,407,0.2,4.3,1.4,4.3,299
Canada,Ontario,Timmins,20100108 05:00,2010,1,8,5,1021.2,411,0.1,3.9,1.1,4.2,307
Canada,Ontario,Timmins,20100108 06:00,2010,1,8,6,1021.5,400,0.1,3.8,0.8,4.2,303
Canada,Ontario,Timmins,20100108 07:00,2010,1,8,7,1021.9,403,0,3.6,0.5,4.3,314
Canada,Ontario,Timmins,20100108 08:00,2010,1,8,8,1022.3,417,0,3.7,0.5,4.3,307
Canada,Ontario,Timmins,20100108 09:00,2010,1,8,9,1022.9,435,0.5,5,2,4.7,315
Canada,Ontario,Timmins,20100108 10:00,2010,1,8,10,1023.3,432,0.7,6.7,4,5.2,302
Canada,Ontario,Timmins,20100108 11:00,2010,1,8,11,1023.3,419,0.7,8.3,6.1,5.5,265
Canada,Ontario,Timmins,20100108 12:00,2010,1,8,12,1022.6,380,0.8,9.7,7.8,5.6,264
Canada,Ontario,Timmins,20100108 13:00,2010,1,8,13,1021.4,367,0.7,10.8,9.1,5.6,259
Canada,Ontario,Timmins,20100108 14:00,2010,1,8,14,1020.5,369,0.6,11.7,10.2,5.8,258
Canada,Ontario,Timmins,20100108 15:00,2010,1,8,15,1020.1,378,0.6,12.2,10.8,5.8,266
Canada,Ontario,Timmins,20100108 16:00,2010,1,8,16,1020.1,387,0.4,12.3,10.8,5.8,270
Canada,Ontario,Timmins,20100108 17:00,2010,1,8,17,1020.2,360,0.5,11.6,10,5.4,303
Canada,Ontario,Timmins,20100108 18:00,2010,1,8,18,1020.5,360,0.5,9.9,8.2,4.8,5
Canada,Ontario,Timmins,20100108 19:00,2010,1,8,19,1020.9,342,0.6,8.8,6.8,4.6,23
Canada,Ontario,Timmins,20100108 20:00,2010,1,8,20,1021.2,359,0.6,8.1,5.9,4.6,6
Canada,Ontario,Timmins,20100108 21:00,2010,1,8,21,1021.4,346,0.6,7.4,5.2,4.5,303
Canada,Ontario,Timmins,20100108 22:00,2010,1,8,22,1021.6,356,0.5,6.8,4.5,4.5,275
Canada,Ontario,Timmins,20100108 23:00,2010,1,8,23,1021.7,350,0.5,6.3,3.8,4.5,262
Canada,Ontario,Timmins,20100109 00:00,2010,1,9,0,1021.6,332,0.4,5.8,3.2,4.4,259
Canada,Ontario,Timmins,20100109 01:00,2010,1,9,1,1021.3,375,0.4,5.3,2.7,4.4,266
Canada,Ontario,Timmins,20100109 02:00,2010,1,9,2,1021.2,367,0.3,4.9,2.2,4.4,254
Canada,Ontario,Timmins,20100109 03:00,2010,1,9,3,1021.3,403,0.3,4.7,1.8,4.5,273
Canada,Ontario,Timmins,20100109 04:00,2010,1,9,4,1021.2,406,0.3,4.3,1.4,4.4,290
Canada,Ontario,Timmins,20100109 05:00,2010,1,9,5,1021.1,404,0.2,4,1.1,4.3,299
Canada,Ontario,Timmins,20100109 06:00,2010,1,9,6,1021.3,398,0.1,3.8,0.8,4.2,298
Canada,Ontario,Timmins,20100109 07:00,2010,1,9,7,1021.8,408,0,3.7,0.5,4.4,308
Canada,Ontario,Timmins,20100109 08:00,2010,1,9,8,1022.2,423,0.1,3.7,0.5,4.4,302
Canada,Ontario,Timmins,20100109 09:00,2010,1,9,9,1022.8,443,0.6,5.1,2.1,4.7,311
Canada,Ontario,Timmins,20100109 10:00,2010,1,9,10,1023.2,448,0.7,6.7,4,5.2,291
Canada,Ontario,Timmins,20100109 11:00,2010,1,9,11,1023.2,433,0.7,8.3,6.1,5.5,259
Canada,Ontario,Timmins,20100109 12:00,2010,1,9,12,1022.5,389,0.8,9.6,7.8,5.6,262
Canada,Ontario,Timmins,20100109 13:00,2010,1,9,13,1021.3,372,0.8,10.8,9.1,5.7,258
Canada,Ontario,Timmins,20100109 14:00,2010,1,9,14,1020.4,370,0.7,11.7,10.2,5.8,257
Canada,Ontario,Timmins,20100109 15:00,2010,1,9,15,1020,373,0.6,12.2,10.7,5.8,267
Canada,Ontario,Timmins,20100109 16:00,2010,1,9,16,1020,388,0.5,12.2,10.8,5.8,269
Canada,Ontario,Timmins,20100109 17:00,2010,1,9,17,1020.1,356,0.6,11.6,10,5.5,303
Canada,Ontario,Timmins,20100109 18:00,2010,1,9,18,1020.3,353,0.5,9.9,8.2,4.8,7
Canada,Ontario,Timmins,20100109 19:00,2010,1,9,19,1020.8,340,0.6,8.8,6.8,4.6,25
Canada,Ontario,Timmins,20100109 20:00,2010,1,9,20,1021.1,349,0.6,8.1,5.9,4.6,9
Canada,Ontario,Timmins,20100109 21:00,2010,1,9,21,1021.3,340,0.6,7.4,5.2,4.6,304
Canada,Ontario,Timmins,20100109 22:00,2010,1,9,22,1021.4,351,0.5,6.8,4.4,4.6,284
Canada,Ontario,Timmins,20100109 23:00,2010,1,9,23,1021.6,351,0.5,6.3,3.7,4.6,269
Canada,Ontario,Timmins,20100110 00:00,2010,1,10,0,1021.5,330,0.4,5.8,3.2,4.4,261
Canada,Ontario,Timmins,20100110 01:00,2010,1,10,1,1021.2,367,0.4,5.3,2.6,4.4,271
Canada,Ontario,Timmins,20100110 02:00,2010,1,10,2,1021.1,368,0.3,4.9,2.2,4.5,257
Canada,Ontario,Timmins,20100110 03:00,2010,1,10,3,1021.1,394,0.3,4.6,1.7,4.5,277
Canada,Ontario,Timmins,20100110 04:00,2010,1,10,4,1021.1,400,0.2,4.3,1.4,4.3,289
Canada,Ontario,Timmins,20100110 05:00,2010,1,10,5,1021,403,0.1,3.9,1,4.3,297
Canada,Ontario,Timmins,20100110 06:00,2010,1,10,6,1021.2,393,0.1,3.8,0.8,4.2,298
Canada,Ontario,Timmins,20100110 07:00,2010,1,10,7,1021.6,414,-0.1,3.7,0.6,4.4,303
Canada,Ontario,Timmins,20100110 08:00,2010,1,10,8,1022.1,417,-0.1,3.7,0.5,4.4,302
Canada,Ontario,Timmins,20100110 09:00,2010,1,10,9,1022.6,444,0.4,5,2.1,4.7,311
Canada,Ontario,Timmins,20100110 10:00,2010,1,10,10,1023.1,456,0.6,6.7,4,5.2,288
Canada,Ontario,Timmins,20100110 11:00,2010,1,10,11,1023.1,441,0.6,8.2,6,5.5,261
Canada,Ontario,Timmins,20100110 12:00,2010,1,10,12,1022.4,395,0.7,9.6,7.7,5.6,265
Canada,Ontario,Timmins,20100110 13:00,2010,1,10,13,1021.1,380,0.7,10.7,9,5.6,260
Canada,Ontario,Timmins,20100110 14:00,2010,1,10,14,1020.3,375,0.6,11.6,10.1,5.7,258
Canada,Ontario,Timmins,20100110 15:00,2010,1,10,15,1019.9,375,0.4,12.1,10.6,5.8,266
Canada,Ontario,Timmins,20100110 16:00,2010,1,10,16,1019.8,388,0.4,12.2,10.7,5.7,264
Canada,Ontario,Timmins,20100110 17:00,2010,1,10,17,1020,358,0.4,11.5,9.9,5.4,290
Canada,Ontario,Timmins,20100110 18:00,2010,1,10,18,1020.2,353,0.4,9.8,8.1,4.8,10
Canada,Ontario,Timmins,20100110 19:00,2010,1,10,19,1020.6,343,0.5,8.7,6.8,4.5,27
Canada,Ontario,Timmins,20100110 20:00,2010,1,10,20,1020.9,349,0.5,7.9,5.8,4.6,20
Canada,Ontario,Timmins,20100110 21:00,2010,1,10,21,1021.2,347,0.5,7.3,5.1,4.5,327
Canada,Ontario,Timmins,20100110 22:00,2010,1,10,22,1021.3,351,0.4,6.8,4.4,4.5,299
Canada,Ontario,Timmins,20100110 23:00,2010,1,10,23,1021.4,356,0.4,6.2,3.7,4.5,280
Canada,Ontario,Timmins,20100111 00:00,2010,1,11,0,1021.3,332,0.3,5.7,3.1,4.4,278
Canada,Ontario,Timmins,20100111 01:00,2010,1,11,1,1021.1,366,0.3,5.2,2.5,4.3,285
Canada,Ontario,Timmins,20100111 02:00,2010,1,11,2,1021,368,0.2,4.8,2,4.4,273
Canada,Ontario,Timmins,20100111 03:00,2010,1,11,3,1021,393,0.1,4.5,1.6,4.5,285
Canada,Ontario,Timmins,20100111 04:00,2010,1,11,4,1021,407,0.1,4.2,1.2,4.4,298
Canada,Ontario,Timmins,20100111 05:00,2010,1,11,5,1020.9,401,-0.1,3.8,0.8,4.4,307
Canada,Ontario,Timmins,20100111 06:00,2010,1,11,6,1021.1,393,-0.1,3.6,0.6,4.3,310
Canada,Ontario,Timmins,20100111 07:00,2010,1,11,7,1021.6,419,-0.2,3.5,0.3,4.4,314
Canada,Ontario,Timmins,20100111 08:00,2010,1,11,8,1022,427,-0.2,3.5,0.3,4.4,313
Canada,Ontario,Timmins,20100111 09:00,2010,1,11,9,1022.5,457,0.3,4.9,1.8,4.8,318
